"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SAPDBL","2024-12-01","1005","1122","986.9","1122","10.00 %","137,536.00"
"SAPDBL","2024-11-28","1008.6","1069.9","980","1020","3.14 %","114,676.00"
"SAPDBL","2024-11-27","895","988.9","881.2","988.9","10.00 %","239,586.00"
"SAPDBL","2024-11-26","909.5","933","891.4","899","-3.13 %","67,864.00"
"SAPDBL","2024-11-25","850.1","930.6","850.1","928","9.69 %","130,587.00"
"SAPDBL","2024-11-24","875","882","838","846","-1.90 %","101,460.00"
"SAPDBL","2024-11-21","866.2","897","862.4","862.4","1.54 %","90,416.00"
"SAPDBL","2024-11-20","785.9","849.3","758","849.3","10.00 %","186,495.00"
"SAPDBL","2024-11-19","785","807","765","772.1","-0.36 %","187,974.00"
"SAPDBL","2024-11-17","795.9","820","769","774.9","-1.16 %","123,986.00"
"SAPDBL","2024-11-14","751.7","794","741","784","6.38 %","123,072.00"
"SAPDBL","2024-11-13","671.1","737","670","737","10.00 %","298,377.00"
"SAPDBL","2024-11-12","668","695","655","670","2.29 %","93,029.00"
"SAPDBL","2024-11-11","677","679","650","655","-2.24 %","121,593.00"
"SAPDBL","2024-11-10","651.2","676.9","650","670","3.40 %","80,014.00"
"SAPDBL","2024-11-06","617.2","663","617.2","648","3.18 %","102,789.00"
"SAPDBL","2024-11-05","629","635","614","628","1.60 %","53,518.00"
"SAPDBL","2024-10-30","639.5","645","615.1","618.1","-1.42 %","125,855.00"
"SAPDBL","2024-10-29","570","627","569","627","10.00 %","234,660.00"
"SAPDBL","2024-10-28","554","581","550.1","570","2.93 %","197,153.00"
"SAPDBL","2024-10-27","549.1","567.1","549.1","553.8","-0.93 %","36,625.00"
"SAPDBL","2024-10-24","560","569.9","552","559","-1.86 %","56,680.00"
"SAPDBL","2024-10-23","566","584.9","561.7","569.6","-1.28 %","36,527.00"
"SAPDBL","2024-10-22","572","589.5","561","577","-0.86 %","27,304.00"
"SAPDBL","2024-10-21","573.2","598.9","545.2","582","3.56 %","159,866.00"
"SAPDBL","2024-10-20","560","572","540","562","-1.23 %","46,776.00"
"SAPDBL","2024-10-17","589","589","566","569","-1.90 %","37,255.00"
"SAPDBL","2024-10-16","580","584","568.4","580","1.72 %","45,542.00"
"SAPDBL","2024-10-15","567","576.8","561","570.2","0.41 %","28,766.00"
"SAPDBL","2024-10-09","577","577","555","567.9","-0.37 %","28,135.00"
"SAPDBL","2024-10-08","546.2","598","546.2","570","2.52 %","67,422.00"
"SAPDBL","2024-10-07","565","577","555","556","0.18 %","23,944.00"
"SAPDBL","2024-10-06","535","560","527","555","2.97 %","38,982.00"
"SAPDBL","2024-10-02","557.9","557.9","533.2","539","-1.46 %","101,452.00"
"SAPDBL","2024-10-01","530","549","525","547","4.21 %","35,794.00"
"SAPDBL","2024-09-30","504.7","525","504.7","524.9","4.11 %","29,625.00"
"SAPDBL","2024-09-29","498","524","496","504.2","0.60 %","42,723.00"
"SAPDBL","2024-09-26","495","534.9","495","501.2","0.44 %","72,181.00"
"SAPDBL","2024-09-25","483.4","499.8","464.4","499","5.27 %","38,989.00"
"SAPDBL","2024-09-24","482","494","471","474","-3.07 %","42,478.00"
"SAPDBL","2024-09-23","505","510","480","489","-4.86 %","30,193.00"
"SAPDBL","2024-09-22","515.1","545","505","514","1.78 %","36,762.00"
"SAPDBL","2024-09-18","539","539","501","505","-4.54 %","51,148.00"
"SAPDBL","2024-09-16","571.2","571.2","521.4","529","-5.54 %","63,266.00"
